;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
no_spp;nama_kebuns;dibayar_kepada;tanggal_spp;no_spk;tgl_spk;tgl_brkhir_spk;no_ba;tgl_ba;tgl_faktur;uraian_spp;nilai_rupiah;tgl_masuk;status pembayaran;DIBAYAR;BELUM DIBAYAR;kategori;jenis dokumen;KATEGORI;NO PO;NO MIRO/SES
13.01/SPP/277/VIII/2023;NGABANG;CV Sarana Indah Perkasa;9 Agu 2023;13.01/OPL/43/VII/2023;07/05/2023;;Ngaba/BA/14/SIP/VII/2023;07/06/2023;;Permintaan pembayaran atas Pengadaan Bahan Kimia untuk Pembibitan Kebun Ngabang sesuai Order Pembelian No. Lokal/13.01/OPL/43/VII/2023;33.992.640;08/09/2023;SUDAH DIBAYAR;33.992.640;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/280/VII/2023;PANDAWA;Koperasi Jasa Palm Taka Berkah;11 Agu 2023;;;;;;;Permintaan pembayaran atas Pekerjaan Pembibitan Pre Nursery Afd V Kebun Pandawa SP No. 13.01/SP/Panda/2023/II/2023;118.710.674;08/11/2023;SUDAH DIBAYAR;118.710.674;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/295/VIII/2023;KANDIR;PT Prakarsa Karya Sejati;28 Agu 2023;13.01/SP/Ktk/243/V/2023;05/02/2023;;Tajati/BAPBM/117/VII/2023;07/03/2023;;Permintaan pembayaran atas Pengadaan Large Polybag Kebun Wilayah Kalimantan Timur dan Selatan sesuai Perjanjian No. 13.01/SP/Ktk/243/V/2023 tgl. 02 Mei 2023;1.838.519.590;29/08/2023;SUDAH DIBAYAR;1.838.519.590;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/308/IX/2023;TABARA;CV Borneo Oenggul Sejahtera;07-Sep-23;;;;;;;Permintaan pembayaran atas Sewa Excavator PC 130 untuk Pekerjaan meratakan Tanah dan membuat parit di Afdeling pembibitan Kebun Tabara sesuai Perjanjian No. 13.01/SP/Tabar/281/VIII/2023;165.087.650;09/07/2023;SUDAH DIBAYAR;165.087.650;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/322/IX/2023;KANDIR;CV Langit Bumi Khatulistiwa;08-Sep-23;;;;;;;Permintaan atas Pengadaan Baby Polybag Kebun Wilayah Kalbar & Timur Surat Perjanjian No. 13.01/SP/KBKT/272/VII/2023 tgl. 17 Juli 2023;60.749.567;18/09/2023;SUDAH DIBAYAR;60.749.567;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/17/I/2023;KANDIR;PT Riset Perkebunan Nusantara PPKS;17-Jan-23;182/FP/QL/XII/2022;21/12/2022;;299/INV/2.2/XII/2022;29/12/2022;;Permintaan pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit (PPKS) biaya Pengiriman Kecambah ke Balikpapan sebanyak 30.000 butir;11.520.000;19/01/2023;SUDAH DIBAYAR;11.520.000;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/47/II/2023;KANDIR;PT Riset Perkebunan Nusantara PPKS;13-Feb-23;008/FP/QL/I/2023;18/01/2023;;52/INV/2.2/I/2023;27/01/2023;;Permintaan pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit;22.500.000;15/02/2023;SUDAH DIBAYAR;22.500.000;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/257/VII/2023;KANDIR;PT Riset Perkebunan Nusantara PPKS;26-Jul-23;;;;;;;Permintaan Pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit;263.500.000;31/07/2023;SUDAH DIBAYAR;263.500.000;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/297/VIII/2023;KANDIR;PT Panca Bhakti Raya Utama;29 Agu 2023;;;;;;;Permintaan pembayaran atas Pengadaan Large Polybag Kebun Wilayah Kalbar sesuai Surat Perjanjian No. 13.01/SP/KB/241/V/2023 tgl. 02 Mei 2023;906.276.699;29/08/2023;SUDAH DIBAYAR;906.276.699;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/302/VIII/2023;KANDIR;PT Riset Perkebunan Nusantara PPKS;31 Agu 2023;138/FP/QL/VII/2023;26/07/2023;;37/INV/2.2/VIII/2023;14/08/2023;;Permintaan pembayaran atas Pengadaan Kecambah Kalapa Sawit dari Pusat Penelitian Kelapa Sawit Kebun Gunme & Tabara (100.000 butir), Kebun Dasal,Tajati & Rimba Belian (105.000 Butir), Kebun Gunme, Tabara & Dasal (150.000 butir);170.750.000;31/08/2023;SUDAH DIBAYAR;170.750.000;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
