;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
no_spp;nama_kebuns;dibayar_kepada;tanggal_spp;no_spk;tgl_spk;tgl_brkhir_spk;no_ba;tgl_ba;tgl_faktur;uraian_spp;nilai_rupiah;tgl_masuk;status pembayaran;DIBAYAR;BELUM DIBAYAR;kategori;jenis dokumen;KATEGORI;NO PO;NO MIRO/SES
5TAN/SPP/62/I/2025;RIMBA BELIAN;CV Riezky Perkasa;20-Jan-25;5TAN/SP/19/KRB/VII/2024;07/08/2024;31/12/2024;5KRB III/BASTP/11/XII/2024;31/12/2024;;Permintaan pembayaran atas Pekerjaan Pemel Bibitan Main Nursery Kebun Rimba Belian sesuai No. Kontrak 5TAN/SP/19/KRB/VII/2024 periode Desember 2024;42.432.175;21/01/2025;SUDAH DIBAYAR;42.432.175;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;4100251370;
5TAN/SPP/63/I/2025;TAJATI;CV Kharisma Jaya;20-Jan-25;13.01/SP/Tajat/320/XI/2023;11/06/2023;08/02/2024;Tajat/BA/BAPUJP-BBT/01/XI/2024;11/10/2024;;Permintaan pembayaran Retensi Pemel Bibitan MN Kebun Tajati No. Addendum 5TAN/SP/ADD/Tajat/320/VIII/2023;35.309.332;21/01/2025;SUDAH DIBAYAR;35.309.332;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/345/XI/2024;NGABANG;CV Multi Indah Lestari;29-Nov-24;5TAN/SP/332/II/2024;23/02/2024;22/03/2024;Ngabang/BASTP/001/V/2024;05/10/2024;;Permintaan pembayaran atas Pekerjaan Sewa Excavator PC 100 untuk pekerjaan pemeliharaan Parit di Afdeling III Kebun Ngabang SP No. 5TAN/SP/332/II/2024 tgl. 23 Februari 2024 s.d. 22 Maret 2024;124.019.250;12/04/2024;SUDAH DIBAYAR;124.019.250;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100249405;5201138166
5TAN/SPP/40/I/2025;SUNGAI DEKAN;PT United Pangsuma;13-Jan-25;5TAN/SPK/42/5KSD/IX/2024;09/12/2024;12/11/2024;5KSD/BA-STP/79/XII/2024;09/12/2024;;Permintaan pembayaran atas Pekerjaan Dongkel Tukulan Mekanis di Afdeling VII Kebun Sungai Dekan dengan Jasa Sewa 2 unit Excavator PC 100 sesuai Surat Perjanjian No. 5TAN/SPK/42/5KSD/IX/2024 tgl. 12 September s.d. 11 November 2024;386.526.693;20/01/2025;SUDAH DIBAYAR;386.526.693;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100263785;
5TAN/SPP/38/I/2025;SUNGAI DEKAN;CV Rekan Taba;13-Jan-25;5TAN/SPK/66/5KSD/XI/2024;18/09/2024;31/12/2024;5KSD/BA-STP/81/XII/2024;30/12/2024;;Permintaan pembayaran atas Pekerjaan Dongkel Tukulan Mekanis di Afdeling VI Blok TBM Kebun Sungai Dekan dengan Jasa Sewa Excavator PC 100 sesuai Surat Perjanjian No. 5TAN/SPK/66/5KSD/XI/2024 tgl. 18 November s.d. 21 Desember 2024;125.088.400;20/01/2025;SUDAH DIBAYAR;125.088.400;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100263784;
5TAN/SPP/33/I/2025;SUNGAI DEKAN;CV Rekan Taba;13-Jan-25;5TAN/SPK/41/5KSD/IX/2024;09/12/2024;12/11/2024;5KSD/BA-STP/77/XII/2024;12/05/2024;;Permintaan pembayaran atas Pekerjaan Dongkel Tukulan Mekanis di Afdeling V dan VI Kebun Sungai Dekan dengan Jasa Sewa 3 unit Excavator PC 100 sesuai Surat Perjanjian No. 5TAN/SPK/41/5KSD/IX/2024 tgl. 12 September 2024;732.224.613;20/01/2025;SUDAH DIBAYAR;732.224.613;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100267967;
5TAN/SPP/32/I/2025;SUNGAI DEKAN;PT United Pangsuma;13-Jan-25;5TAN/SP/34/5KSD/IX/2024;09/02/2024;30/09/2024;5KSD/BA-STP/74/XII/2024;09/02/2024;;Permintaan pembayaran atas Pekerjaan Dongkel Tukulan Mekanis di Afdeling III Kebun Sungai Dekan dengan Jasa Sewa 3 unit Excavator PV 100 sesuai Surat Perjanjian No. 5TAN/SP/34/5KSD/IX/2024 tgl. 01 September s.d. 30 November 2024;625.611.559;20/01/2025;SUDAH DIBAYAR;625.611.559;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100263782;
5TAN/SPP/237/IX/2024;GUNUNG MELIAU;PT Aneka Sarana;24-Sep-24;5TAN/SP/21/5KGM/VII/2024;07/12/2024;08/11/2024;5KGM/BAST/Tan/13/VIII/2024;08/12/2024;08/12/2024;Permintaan pembayaran atas Sewa Excavator PC 100 untuk Dongkel Kayuan di Afdeling III Kebun Gunung Meliau SP No. 5TAN/SP/21/5KGM/VII/2024 tgl. 12 Juli 2024;151.721.242;10/01/2024;SUDAH DIBAYAR;151.721.242;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100252081;5201212406
5TAN/SPP/88/I/2025;GUNUNG MELIAU;CV Rekan Taba;24-Jan-25;5TAN/SPK/62/5KGM/XI/2024;11/05/2024;20/12/2024;5KGM/BAST/Tan/05/XII/2024;20/12/2024;;Permintaan pembayaran atas Pekerjaan Sewa 2 Unit Excavator PC 100 untuk Pekerjaan Pembuatan Parit Drainase di Afd. I s.d. VII Kebun Gunung Meliau sesuai Surat Perjanjian No. 5TAN/SPK/62/5KGM/XI/2024 tgl. 05 November 2024 s.d. 20 Desember 2024;399.087.858;30/01/2025;SUDAH DIBAYAR;399.087.858;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100264099;
5TAN/SPP/87/I/2025;PANDAWA;PT Pondok Hijau Minning;24-Jan-25;5TAN/SPK/60/5KPD/X/2024;28/10/2024;12/12/2024;5KPD/BA/01/XII/2024;12/12/2024;;Permintaan pembayaran atas Pekerjaan Sewa 2 Unit Excavator PC 75 untuk Pekerjaan Perbaikan Jalan di Areal TM di Afdeling I Kebun Pandawa sesuai Surat Pejanjian No. 5TAN/SPK/60/5KPD/X/2024 tgl. 28 Oktober s.d. 12 Desember 2024;421.026.452;30/01/2025;SUDAH DIBAYAR;421.026.452;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100263856;
5TEP/SPP/41/I/2025;PELAIHARI;CV Global Indo Konstruksi;21-Jan-25;5TEP-AB/SP/008/VII/2024;29/07/2024;26/11/2024;5KPL/Retensi/35/XII/2024;31/12/2024;;Pembayaran retensi atas Pembuatan 5 unit Gorong-Gorong Buis Beton Bertulang dengan Wermesh M 6 Diameter 1 Meter dan Panjang 4 Meter Kebun Pelaihari Kontrak No. 5TEP-AB/SP/008/VII/2024 tgl. 29/07/2024;2.937.002;23/01/2025;SUDAH DIBAYAR;2.937.002;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;;
5PTI/SPP/628/XII/2024;GUNUNG MELIAU;Xendit/PaDI UMKM;30 Des 2024;;;;;;;Pembayaran atas Pembelian Alat Panen untuk Kebun Gunung Meliau sesuai PP No. 5KGM/5TAN/1,2,3,10,11/IV/2024;18.050.000;22/01/2025;SUDAH DIBAYAR;18.050.000;0;Exploitasi;Panen & Pengumpulan;Exploitasi;;
5PTI/SPP/629/XII/2024;GUNUNG MELIAU;Xendit/PaDI UMKM;30 Des 2024;;;;;;;Pembayaran atas Pembelian Alat Panen untuk Kebun Gunung Meliau sesuai PP No. 5KGM/5TAN/5,6/IV/2024;21.067.800;22/01/2025;SUDAH DIBAYAR;21.067.800;0;Exploitasi;Panen & Pengumpulan;Exploitasi;;
5PTI/SPP/630/XII/2024;GUNUNG MELIAU;Xendit/PaDI UMKM;30 Des 2024;;;;;;;Pembayaran atas Pembelian Alat Panen untuk Kebun Gunung Meliau sesuai PP No. 5KGM/5TAN/7,8,9/IV/2024;19.447.200;22/01/2025;SUDAH DIBAYAR;19.447.200;0;Exploitasi;Panen & Pengumpulan;Exploitasi;;
5PTI/SPP/631/XII/2024;GUNUNG MELIAU;Xendit/PaDI UMKM;30 Des 2024;;;;;;;Pembayaran atas Pembelian Alat Panen untuk Kebun Gunung Meliau sesuai PP No. 5KGM/5TAN/61/VI/2024;23.310.000;22/01/2025;SUDAH DIBAYAR;23.310.000;0;Exploitasi;Panen & Pengumpulan;Exploitasi;;
5TAN/SPP/286/X/2024;TAJATI;Koperasi Jasa Palm Taka Berkah;30 Okt 2024;Tajat.In/Tan/SPK/01/VIII/2024 ;31/07/2024;31/08/2024;5KTJ/TAN.BA/01/VIII/2024;31/08/2024;;Permintaan pembayaran atas Pekerjaan Pemeliharaan TBM III 23.96 Ha di Afdeling III Kebun Tajati Bulan Agustus 2024 SP No. Tajat.In/Tan/SPK/01/VIII/2024 tgl. 31 Juli 2024;1.436.402;25/11/2024;SUDAH DIBAYAR;1.436.402;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;4100265726;
5TAN/SPP/56/I/2025;KEMBAYAN;CV Rio Janji Raja;20-Jan-25;;;;;;;Permintaan pembayaran atas Pekerjaan Pemeliharaan Pembibitan Main Nursery di Afdeling III Kebun Kembayan sesuai Surat Perjanjian No. 5TAN/SP/22/5KBY/VII/2024 tgl. 16 Juli 2024;30.002.284;20/01/2025;SUDAH DIBAYAR;30.002.284;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/57/I/2025;KEMBAYAN;CV Rio Janji Raja;20-Jan-25;;;;;;;Permintaan pembayaran atas Pengadaan Jasa Angkut dan Ecer Tankos dari Pabrik Kembayan ke Afdeling I Areal TBM Kebun Kembayan sesuai Surat Perjanjian No. 5TAN/SPK/59/5KBY/X/2024 tgl. 28 Oktober s.d. 31 Desember 2024;119.908.959;20/01/2025;SUDAH DIBAYAR;119.908.959;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/340/XI/2024;NGABANG;CV Multi Indah Lestari;20-Nov-24;5TAN/SP/27/5KNG/VIII/2024;08/05/2024;09/04/2024;Ngabang/BASTP/001/IX/2024;09/04/2024;;Permintaan pembayaran atas Pekerjaan Sewa Excavator PC 100 untuk Pembersihan Parit Drainase di Areal TM Kebun Ngabang SP No. 5TAN/SP/27/5KNG/VIII/2024 tgl. 05 Agustus 2024 s.d. 04 September 2024;128.620.000;12/04/2024;SUDAH DIBAYAR;128.620.000;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;Tidak dilampirkan;5201234192
5TAN/SPP/89/I/2025;BATULICIN;CV Kharisma Jaya;30-Jan-25;5KBL/SP/25-27/XI/2024;01-31 /11/2024;30/11/2024;5KBL/BAST/25/XII/2024;30/11/2024;;Permintaan pembayaran atas Pemeliharaan TM Chemis Jalur Sadap Afdeling I, II, dan IV Kebun Batulicin bulan Nopember 2024 SP No. 5KBL/SP/25-27/X/2024 tgl. 01 s.d. 30 November 2024;33.061.907;31/01/2025;SUDAH DIBAYAR;33.061.907;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100270821;
5TAN/SPP/90/I/2025;BATULICIN;CV Kharisma Jaya;30-Jan-25;5KBL/SP/28-30/XI/2024;01-31 /12/2024;31/12/2024;5KBL/BAST/28/XII/2024;31/12/2024;;Permintaan pembayaran atas Pemeliharaan TM Chemis Jalur Sadap Afdeling I, II, dan IV Kebun Batulicin bulan Desember 2024 SP No. 5KBL/SP/28-30/XI/2024 tgl. 01 s.d. 31 Desember 2024;31.583.867;31/01/2025;SUDAH DIBAYAR;31.583.867;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271630;5201297888
5TAN/SPP/92/I/2025;BATULICIN;CV Kharisma Jaya;30-Jan-25;5KBL/SP/22-24/IX/2024;01-31 /10/2024;31/10/2024;5KBL/BAST/22/X/2024;31/10/2024;;Permintaan pembayaran atas Pemeliharaan TM Chemis Jalur Sadap Afdeling I, II, dan IV Kebun Batulicin bulan Oktober 2024 SP No. 5KBL/SP/22-24/IX/2024 tgl. 01 s.d. 31 Oktober 2024;36.073.414;31/01/2025;SUDAH DIBAYAR;36.073.414;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100270818;
5TAN/SPP/263/X/2024;DANAU SALAK;PT Sukses Karya Hutani Mandiri;21 Okt 2024;13.01/SPK-IPS/16/X/2022;10/01/2022;31/03/2026;5KDS/BASTP/114/VIII/2024;19/08/2024;;Permintaan pembayaran penyelesaian atas Pekerjaan Pemeliharaan TBM I Kebun Danau Salak No. 13.01/SPK-IPS/16/X/2022;92.351.578;30/12/2024;SUDAH DIBAYAR;92.351.578;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;4100266337;5201387556
5TAN/SPP/04/I/2025;KANDIR;CV Langit Bumi Khatulistiwa;01/06/2025;5TAN/SP/69/5UGKB/XI/2024;20/11/2024;29/12/2024;BA/GE/31/XII/2024;16/12/2024;;Permintaan pembayaran atas Pengadaan Herbisida Glifosat 480 g/l untuk Areal TBM Kebun Wilayah Kalimantan Barat sesuai Surat Perjanjian No. 5TAN/SP/69/5UGKB/XI/2024 tgl. 29 Nopember 2024;825.220.620;01/07/2025;SUDAH DIBAYAR;825.220.620;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;4300063861;
5TAN/SPP/05/I/2025;SUNGAI DEKAN;CV Langit Bumi Khatulistiwa;01/06/2025;5TAN/SPK/65/5KSD/XI/2024;21/11/2024;29/12/2024;DEkan/91/2024;16/12/2024;;Permintaan pembayaran atas Pengadaan Barang untuk Pembuatan Pagar di Areal Pembibitan Kebun Sungai Dekan sesuai Surat Perjanjian No. 5TAN/SPK/65/5KSD/XI/2024 tgl. 21 Nopember 2024;75.000.000;01/07/2025;SUDAH DIBAYAR;75.000.000;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;4300063723;
5TAN/SPP/104/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;11-Feb-25;5KDS/SPK/177-180/X/2024;10/01/2024;31/10/2024;Dasal/BAST/177/X/2024;31/10/2024;;Permintaan pembayaran atas Pekerjaan Tanaman Kelapa Sawit 601 dan Main Nursery bulan Oktober 2024 Kebun Danau Salak sesuai Surat Perjanjian No. 5KDS/SPK/177-180/X/2024 tgl. 01 Oktober 2024 s.d. 31 Oktober 2024;100.356.582;02/12/2025;SUDAH DIBAYAR;100.356.582;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;4100263707;5201393602
5TAN/SPP/105/II/2025;GUNUNG MELIAU;CV Mitra Agro Unggul;11-Feb-25;5TAN/SPK/47/5KGM/IX/2024;30/09/2024;14/12/2024;5KGM/BAST/TAN/06/XII/2024;14/12/2024;;Permintaan pembayaran atas Sewa Road Greader dan Vibro Compactor untuk Pekerjaan Perbaikan Jalan di Afdeling II, IV, VI Kebun Gunung Meliau sesuai Surat Perjanjian No. 5TAN/SPK/47/5KGM/IX/2024 tgl. 30 September 2024 s.d. 14 Desember 2024;508.778.850;02/12/2025;SUDAH DIBAYAR;508.778.850;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100263776;
5TAN/SPP/106/II/2025;DANAU SALAK;;;;;;;;;;;;;0;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/107/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;11-Feb-25;13.01/SP/DASAL/298/VIII/2023;;25/06/2024;5KDS/BAPUJ/55/VI/2024;25/06/2024;;Permintaan pembayaran Retensi Pemeliharaan TBM I Kebun Danau Salak sesuai Surat Perjanjian No. 13.01/SP/Dasal/298/VIII/2023;0;02/12/2025;SIAP BAYAR;0;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/108/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;11-Feb-25;13.01/SP/DASAL/312/IX/2023;08/10/2024;;KDS/BAPUJ/111/VIII/2024;08/12/2024;;Permintaan pembayaran Retensi 5% Pemeliharaan Bibitan Main Nursery Kebun Danau Salak SP No. 13.01/SP/Dasal/312/IX/2023;51.762.509;02/12/2025;SUDAH DIBAYAR;51.762.509;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/103/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;03-Feb-25;5KDST/SPK-IPS/31,39,49/X/2024;10/01/2024;31/10/2024;5KDS/BAST/163/X/2024;31/10/2024;;Permintaan pembayaran atas Pekerjaan Tanaman Kelapa Sawit TBM I, II, III, IV bulan Oktober 2024 Kebun Danau Salak SP No. 5KDS/SPK-IPS/31,39,49/X/2024 tgl. 01 Oktober s.d. 31 Oktober 2024;460.413.721;02/12/2025;SUDAH DIBAYAR;460.413.721;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;4100263701;5201377304
5TAN/SPP/102/II/2025;PELAIHARI;CV Global Indo Konstruksi;05-Feb-25;5KPL/SP/24-27/XII/2024;12/01/2024;31/12/2024;5KPL/BAST/32/XII/2024;31/12/2024;;Permintaan pembayaran atas Pemeliharaan Tanaman Menghasilkan Afdeling I s.d. IV Kebun Pelaihari sesuai Surat Perjanjian No. 5KPL/SP/24-27/XII/2024 tgl. 1 Desember 2024;159.158.471;02/12/2025;SUDAH DIBAYAR;159.158.471;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271744;
5TAN/SPP/91/III/2024;PANDAWA;CV Anugerah Hijau Daun;26-Mar-24;;;;;;;Permintaan pembayaran atas Pekerjaan Sewa Excavator PC 200 untuk Pekerjaan Pemeliharaan Jembatan & Saluran Air di Afdeling I Kebun Pandawa SP No. 13.01/SP/PANDA/249/V/2023 tgl. 19 Mei 2023;;26/03/2024;;0;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;;
5TAN/SPP/98/II/2025;TABARA;Koperasi Makmur Sejahtera;04-Feb-25;5KTB/SPK/26.7-III/III/2024;28/02/2024;31/03/2024;5KTB/BA-TAN/26-7-III/III/2024;31/03/2024;;Permintaan pembayaran atas Pemeliharaan Jalan Produksi dan Koleksi Kebun Tabara sesuai Surat Perjanjian No. 5KTB/SPK/26-7-III/III/2024 tgl. 28 Februari 2024;7.630.000;02/05/2025;SUDAH DIBAYAR;7.630.000;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100247536;
5TEP/SPP/582/XII/2024;RIMBA BELIAN;PT Duta Ayu Nugraha;12 Des 2024;5TEP-AB/SP/020/X/2024;28/10/2024;27/11/2024;5TEP/BAST/20/XI/2024;26/11/2024;;Pembayaran rampung atas Perbaikan Road Grader MG 330 di Kebun Ngabang, Kebun Rimba Belian, dan Kebun Gunung Emas Kontrak No. 5TEP-AB/SP/020/X/2024;194.844.000;18/12/2024;SUDAH DIBAYAR;194.844.000;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100268565;
5TAN/SPP/19/I/2025;TABARA;Koperasi Makmur Sejahtera;01/09/2025;5KTB/SPK/26-7-II/II/2024;21/01/2024;29/02/2024;5KTB/BA-TAN/26-7-II/II/2024;29/02/2024;;Permintaan pembayaran atas Pemeliharaan Jalan Produksi dan Koleksi Kebun Tabara sesuai Surat Perjanjian No. 5KTB/SPK/26-7-II/II/2024 tgl. 31 Januari 2024;7.630.000;13/01/2025;SUDAH DIBAYAR;7.630.000;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;;
5TAN/SPP/293A/XI/2024;KEMBAYAN;CV Karya Abadi;05-Nov-24;5TAN/SP/20/5KBY/VII/2024;15/07/2024;13/09/2024;5KBY/BAPUR/02/X/2024;30/10/2024;;Permintaan pembayaran Retensi Instalasi Pembibitan Main Nursery Kelapa Sawit di Kebun Kembayan SP No. 5TAN/SP/20/5KBY/VII/2024;41.173.746;12/04/2024;SUDAH DIBAYAR;41.173.746;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;Tidak dilampirkan;Tidak dilampirkan
5TAN/SPP/725/XI/2023;DANAU SALAK;Koperasi karya lestari;22-Feb-24;;;;;;;Permintaan pembayaran atas Pekerjaan Bibitan Mucuna Bracteata bulan November 2023 di Kebun Danau Salak SP No. 13.01/SP/Dasal/308/IX/2023 tgl. 11 September 2023;104.354.075;23/02/2024;SUDAH DIBAYAR;104.354.075;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
5TAN/SPP/150/I/2025;BATULICIN;CV Kharisma Jaya;17-Feb-25;5KBL/SP/11-12/V/2024;31/05/2024;30/06/2024;5KBL/BAST/11/VI/2024;30/06/2024;;Pembayaran upah Pemeliharaan Afdeling Inti I Kebun Batulicin bulan Juni 2024;23.805.682;19/08/2024;SUDAH DIBAYAR;23.805.682;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;Batulicin 1.4100255443, 2. 4100255444;Batulicin 1. 5201190373, 2. 5201190374
5TAN/SPP/163/II/2025;TAJATI;Koperasi Jasa Palm Taka Berkah;01-Jul-24;Tajat.In/Tan/SPK/01/VII/2024;07/01/2024;31/07/2024;Tajat/Tan./BA/01/VII/2024;31/07/2024;;Permintaan pembayaran atas pekerjaan pemeliharaan TBM II 19,59 Ha di Afdeling III Kebun Tajati SPK No. Tajat.In/Tan/SPK/01/VII/2024;5.872.102;17/09/2024;SUDAH DIBAYAR;5.872.102;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;;
5TAN/SPP/200/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;19-Feb-25;5KDS/SPK/225/XII/2024;12/02/2024;31/12/2024;;;;Permintaan pembayaran Pekerjaan Pemeliharaan TBM IV Afdeling XII Kebun Danau Salak sesuai Surat Perjanjian No. 5KDS/SPK/225/XII/2024 tgl. 31 Desember 2024;22.845.855;25/02/2025;SUDAH DIBAYAR;22.845.855;0;Investasi On Farm;Pemel TBM diluar Pupuk;Investasi On Farm;4100271672;
5TAN/SPP/199/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;19-Feb-25;5KDS/SPK/212/XII/2024;12/02/2024;31/12/2024;Dasal/BASTP/212/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan Panen TM Afdeling VII Kebun Danau Salak sesuai Surat Perjanjian No. 5KDS/SPK/212/XII/2024 tgl. 31 Desember 2024;4.959.500;25/02/2025;SUDAH DIBAYAR;4.959.500;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271687;
5TAN/SPP/176/II/2025;RIMBA BELIAN;CV Riezky Perkasa;17-Feb-25;5TAN/SP/19/KRB/VII/2024;07/08/2024;31/12/2024;5KRB III/BASTP/11/XII/2024;31/12/2024;;Permintaan biaya Retensi atas Pekerjaan Pemel Bibitan Main Nursery Kebun Rimba Belian No. Kontrak 5TAN/SP/19/KRB/VII/2024;26.756.699;25/02/2025;SUDAH DIBAYAR;26.756.699;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;tidak ada;
5TAN/SPP/185/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5TAN/SPK-IPS/49/5KDS/X/2024;12/01/2024;31/12/2024;5KDS/BASTP/205/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan Panen TBM I Afdeling I - Munggu bulan Desember 2024 Kebun Danau Salak sesuai Surat Perjanjian No. 5TAN/SPK-IPS/49/5KDS/X/2024 tgl. 31 Desember 2024;51.007.674;25/02/2025;SUDAH DIBAYAR;51.007.674;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271696;5201385849
5TAN/SPP/184/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5TAN/SPK-IPS/39/5KDS/IX/2024;12/01/2024;31/12/2024;5KDS/BASTP/220/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan TBM II Afdeling XI Kebun Danau Salak sesuai Surat Perjanjian No. 5TAN/SPK-IPS/39/5KDS/IX/2024 tgl. 31 Desember 2024;7.140.045;25/02/2025;SUDAH DIBAYAR;7.140.045;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271682;5201359262
5TAN/SPP/183/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5TAN/SPK-IPS/39/5KDS/IX/2024;12/01/2024;31/12/2024;5KDS/BASTP/213/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan TBM II Afdeling VIII Kebun Danau Salak sesuai Surat Perjanjian No. 5TAN/SPK-IPS/39/5KDS/IX/2024 tgl. 31 Desember 2024;26.604.229;25/02/2025;SUDAH DIBAYAR;26.604.229;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271686;5201348320
5TAN/SPP/182/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5TAN/SPK-IPS/39/5KDS/IX/2024;12/01/2024;31/12/2024;5KDS/BASTP/218/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan TBM II Afdeling X Kebun Danau Salak sesuai Surat Perjanjian No. 5TAN/SPK-IPS/39/5KDS/IX/2024 tgl. 31 Desember 2024;81.369.991;25/02/2025;SUDAH DIBAYAR;81.369.991;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271667;5201348321
5TAN/SPP/181/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5TAN/SPK-IPS/39/5KDS/IX/2024;12/01/2024;31/12/2024;5KDS/BASTP/216/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan TBM II Afdeling IX Kebun Danau Salak sesuai Surat Perjanjian No. 5TAN/SPK-IPS/39/5KDS/IX/2024 tgl. 31 Desember 2024;6.261.630;25/02/2025;SUDAH DIBAYAR;6.261.630;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271669;5201348397
5TAN/SPP/180/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5TAN/SPK-IPS/39/5KDS/IX/2024;12/01/2024;31/12/2024;5KDS/BASTP/209/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan TBM II Afdeling VII Kebun Danau Salak sesuai Surat Perjanjian No. 5TAN/SPK-IPS/39/5KDS/IX/2024 tgl. 31 Desember 2024;16.840.440;25/02/2025;SUDAH DIBAYAR;16.840.440;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271692;5201348403
5TAN/SPP/179/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5TAN/SPK-IPS/39/5KDS/IX/2024;12/01/2024;31/12/2024;5KDS/BASTP/222/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan TBM II Afdeling XII Kebun Danau Salak sesuai Surat Perjanjian No. 5TAN/SPK-IPS/39/5KDS/IX/2024 tgl. 31 Desember 2024;11.480.861;25/02/2025;SUDAH DIBAYAR;11.480.861;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271676;5201348408
5TAN/SPP/178/II/2025;DANAU SALAK;CV Kharisma Karya Jaya;20-Feb-25;5KDS/SPK/211/XII/2024;12/02/2024;31/12/2024;Dasal/BASTP/211/XII/2024;31/12/2024;;Permintaan pembayaran Pekerjaan Panen TM Afdeling XIII Kebun Danau Salak sesuai Surat Perjanjian No. 5KDS/SPK/211/XII/2024 tgl. 31 Desember 2024;39.161.520;25/02/2025;SUDAH DIBAYAR;39.161.520;0;Exploitasi;Pemeliharaan Tanaman Menghasilkan;Exploitasi;4100271689;5201351383
