1,1217_2023,21 Feb 2023,13.03/SPP/146/II/2023,RIMBA BELIAN,CV Gemilang Mandiri,,,,,,,Pembayaran rampung atas Instalasi Pembibitan Main Nursery Kebun Rimba Belian-Kalimantan Barat Kontrak No. 13.03-AB/SP/90/VIII/2022,356.195.976,KEUANGAN,21/02/2023,09/03/2023,,356.195.976,356.195.976,0,,,,0,,356.195.976,,,,,,,,,,,,,,,356.195.976,11/07/2023,356.195.976,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  356.195.976 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  356.195.976 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  356.195.976 
1,1728_2023,14 Mar 2023,13.03/SPP/251/III/2023,RIMBA BELIAN,CV Gemilang Mandiri,,,,,,,Pembayaran Retensi atas Instalasi Pembibitan Main Nursery Kebun Rimba Belian Kontrak No. 13.03-AB/SP/90/VIII/2022,17.117.335,KEUANGAN,14/03/2023,03/15/2023,,17.117.335,17.117.335,0,,,,0,,17.117.335,,,,,,,,,,,,,,,17.117.335,26/07/2023,17.117.335,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  17.117.335 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  17.117.335 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  17.117.335 
1,1893_2023,21 Mar 2023,13.01/SPP/113/III/2023,NGABANG,PT Gemilang Mandiri,,,,,,,Permintaan pembayaran atas Pekerjaan pemeliharaan Pembibitan Kebun Ngabang No. SPK 13.01/SP/Ngaba/172/XII/2022,132.434.010,KEUANGAN,21/03/2023,17/05/2023,,132.434.010,132.434.010,0,,,,0,,132.434.010,,,,,,,,,,,,,,,132.434.010,17/05/2023,132.434.010,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  132.434.010 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  132.434.010 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  132.434.010 
1,2026_2023,29 Mar 2023,13.01/SPP/126/III/2023,TAJATI,Koperasi Jasa Palm Taka Berkah,,,,,,,Permintaan pembayaran atas Pengadaan Jasa Pembibitan di Kebun Tajati sesuai Surat Perjanjian No. 13.01/SP/Tajat/161/XII/2022,128.413.445,KEUANGAN,29/03/2023,11/05/2023,,128.413.445,128.413.445,0,,,,0,,128.413.445,,,,,,,,,,,,,,,128.413.445,11/05/2023,128.413.445,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  128.413.445 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  128.413.445 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  128.413.445 
1,3600_2023,21 Jun 2023,13.01/SPP/210/VI/2023,NGABANG,CV Langit Bumi Khatulistiwa,,,,,,,Permintaan pembayaran atas Pengadaan Selang untuk Pembibitan Kebun Ngabang sesuai Order Pembelian Lokal No. 13.01/OPL/42/VI/2023 tgl. 15 Mei 2023,33.300.000,KEUANGAN,21/06/2023,22/06/2023,,33.300.000,33.300.000,0,,,,0,,33.300.000,,,33.300.000,29/12/2023,,,,,,,,,,,,,33.300.000,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  33.300.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  33.300.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  33.300.000 
1,4193_2023,24 Jul 2023,13.01/SPP/250/VII/2023,PANDAWA,CV Best Konstruksi Mandiri,,,,,,,Permintaan pembayaran atas Pembelian Pembibitan Main Nursery Kebun Pandawa,78.880.368,KEUANGAN,24/07/2023,24/10/2023,,78.880.368,78.880.368,0,,,,0,,78.880.368,,,,,,,,,,,,,,,78.880.368,22/02/2024,78.880.368,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  78.880.368 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  78.880.368 ,  78.880.368 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  78.880.368 ,  - 
1,4206_2023,24 Jul 2023,13.01/SPP/249/VII/2023,PANDAWA,CV Best Konstruksi Mandiri,,,,,,,Permintaan pembayaran atas Pemeliharaan Pembibitan Main Nursery Kebun Pandawa,327.070.943,KEUANGAN,24/07/2023,15/09/2023,,327.070.943,327.070.943,0,,,,0,,327.070.943,,,150.000.000,24/10/2023,,,,,,,,,,,177.070.943,29/12/2023,327.070.943,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  327.070.943 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  327.070.943 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  327.070.943 
1,4526_2023,3 Agu 2023,13.03/SPP/634/VIII/2023,PANDAWA,CV Borneo Oenggul Sejahtera,,,,,,,Pembayaran Rampung atas Pembuatan Instalasi Pemipaan Main Nursery (800.000 Pokok) Kebun Pandawa Kaltim Kontrak No. 13.03-AB/SP/06/II/2023 tgl. 2 Februari 2023,491.211.016,KEUANGAN,03/08/2023,,- Lampiran BA tdk sama dengan AU79,0,491.211.016,0,,,,0,- Lampiran BA tdk sama dengan AU79,491.211.016,,,,,,,,,,,,,,,491.211.016,29/12/2023,491.211.016,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  491.211.016 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  491.211.016 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  491.211.016 
1,4641_2023,7 Agu 2023,13.01/SPP/263/VIII/2023,TAJATI,CV Best Konstruksi Mandiri,13.01/SP/TAJAT/222/III/2023,20/03/2023,,TAJAT/Tan/BA/01/2023,19/05/2023,,Permintaan Pembayaran atas Pemeliharaan Pembibitan Main Nursery Kebun Tajati,207.490.390,KEUANGAN,07/08/2023,25/10/2023,,207.490.390,207.490.390,0,,,,0,,207.490.390,,,100.000.000,27/05/2024,,,,,,,,,,,107.490.390,03/09/2024,207.490.390,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  100.000.000 ,  - ,  - ,  - ,  107.490.390 ,  - ,  - ,  - ,  207.490.390 ,  207.490.390 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  207.490.390 ,  - 
1,4750_2023,9 Agu 2023,13.01/SPP/277/VIII/2023,NGABANG,CV Sarana Indah Perkasa,13.01/OPL/43/VII/2023,05/07/2023,,Ngaba/BA/14/SIP/VII/2023,06/07/2023,,Permintaan pembayaran atas Pengadaan Bahan Kimia untuk Pembibitan Kebun Ngabang sesuai Order Pembelian No. Lokal/13.01/OPL/43/VII/2023,33.992.640,KEUANGAN,09/08/2023,11/08/2023,,33.992.640,33.992.640,0,,,,0,,33.992.640,,,,,,,,,,,,,,,33.992.640,29/12/2023,33.992.640,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  33.992.640 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  33.992.640 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  33.992.640 
1,4791_2023,11 Agu 2023,13.01/SPP/280/VII/2023,PANDAWA,Koperasi Jasa Palm Taka Berkah,,,,,,,Permintaan pembayaran atas Pekerjaan Pembibitan Pre Nursery Afd V Kebun Pandawa SP No. 13.01/SP/Panda/2023/II/2023,118.710.674,KEUANGAN,11/08/2023,11/08/2023,,118.710.674,118.710.674,0,,,,0,,118.710.674,,,,,,,,,,,,,,,118.710.674,24/10/2023,118.710.674,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  118.710.674 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  118.710.674 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  118.710.674 
1,5095_2023,28 Agu 2023,13.01/SPP/295/VIII/2023,KANDIR,PT Prakarsa Karya Sejati,13.01/SP/Ktk/243/V/2023,02/05/2023,,Tajati/BAPBM/117/VII/2023,03/07/2023,,Permintaan pembayaran atas Pengadaan Large Polybag Kebun Wilayah Kalimantan Timur dan Selatan sesuai Perjanjian No. 13.01/SP/Ktk/243/V/2023 tgl. 02 Mei 2023,1.838.519.590,KEUANGAN,29/08/2023,29/08/2023,,1.838.519.590,1.838.519.590,0,,,,0,,1.838.519.590,,,1.500.000.000,22/03/2024,150000000,27/05/2024,,,,,,,,,188.519.590,28/06/2024,1.838.519.590,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  1.500.000.000 ,  - ,  150.000.000 ,  188.519.590 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.838.519.590 ,  1.838.519.590 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.838.519.590 ,  - 
1,5296_2023,7 Sep 2023,13.01/SPP/308/IX/2023,TABARA,CV Borneo Oenggul Sejahtera,,,,,,,Permintaan pembayaran atas Sewa Excavator PC 130 untuk Pekerjaan meratakan Tanah dan membuat parit di Afdeling pembibitan Kebun Tabara sesuai Perjanjian No. 13.01/SP/Tabar/281/VIII/2023,165.087.650,KEUANGAN,07/09/2023,20/09/2023,,165.087.650,165.087.650,0,,,,0,,165.087.650,,,,,,,,,,,,,,,165.087.650,24/10/2023,165.087.650,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  165.087.650 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  165.087.650 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  165.087.650 
1,5507_2023,8 Sep 2023,13.01/SPP/322/IX/2023,KANDIR,CV Langit Bumi Khatulistiwa,,,,,,,Permintaan atas Pengadaan Baby Polybag Kebun Wilayah Kalbar & Timur Surat Perjanjian No. 13.01/SP/KBKT/272/VII/2023 tgl. 17 Juli 2023,60.749.567,KEUANGAN,18/09/2023,19/09/2023,,60.749.567,60.749.567,0,,,,0,,60.749.567,,,,,,,,,,,,,,,60.749.567,22/03/2024,60.749.567,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  60.749.567 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  60.749.567 ,  60.749.567 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  60.749.567 ,  - 
1,0449_2023,17 Jan 2023,13.01/SPP/17/I/2023,KANDIR,PT Riset Perkebunan Nusantara PPKS,182/FP/QL/XII/2022,21/12/2022,,299/INV/2.2/XII/2022,29/12/2022,,Permintaan pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit (PPKS) biaya Pengiriman Kecambah ke Balikpapan sebanyak 30.000 butir,11.520.000,KEUANGAN,19/01/2023,24/01/2023,,11.520.000,11.520.000,0,,,,0,,11.520.000,,,,,,,,,,,,,,,11.520.000,28/06/2024,11.520.000,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  11.520.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  11.520.000 ,  11.520.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  11.520.000 ,  - 
1,1068_2023,13 Feb 2023,13.01/SPP/47/II/2023,KANDIR,PT Riset Perkebunan Nusantara PPKS,008/FP/QL/I/2023,18/01/2023,,52/INV/2.2/I/2023,27/01/2023,,Permintaan pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit,22.500.000,KEUANGAN,15/02/2023,16/02/2023,,22.500.000,22.500.000,0,,,,0,,22.500.000,,,,,,,,,,,,,,,22.500.000,28/06/2024,22.500.000,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  22.500.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  22.500.000 ,  22.500.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  22.500.000 ,  - 
1,4422_2023,26 Jul 2023,13.01/SPP/257/VII/2023,KANDIR,PT Riset Perkebunan Nusantara PPKS,,,,,,,Permintaan Pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit,263.500.000,KEUANGAN,31/07/2023,24/10/2023,,263.500.000,263.500.000,0,,,,0,,263.500.000,,,,,,,,,,,,,,,263.500.000,29/12/2023,263.500.000,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  263.500.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  263.500.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  263.500.000 
1,5102_2023,29 Agu 2023,13.01/SPP/297/VIII/2023,KANDIR,PT Panca Bhakti Raya Utama,,,,,,,Permintaan pembayaran atas Pengadaan Large Polybag Kebun Wilayah Kalbar sesuai Surat Perjanjian No. 13.01/SP/KB/241/V/2023 tgl. 02 Mei 2023,906.276.699,KEUANGAN,29/08/2023,30/08/2023,,906.276.699,906.276.699,0,,,,0,,906.276.699,,,100.000.000,07/11/2023,300.000.000,29/12/2023,,,,,,,,,506.276.699,22/03/2024,906.276.699,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  400.000.000 ,  - ,  - ,  506.276.699 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  506.276.699 ,  906.276.699 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  506.276.699 ,  400.000.000 
1,5161_2023,31 Agu 2023,13.01/SPP/302/VIII/2023,KANDIR,PT Riset Perkebunan Nusantara PPKS,138/FP/QL/VII/2023,26/07/2023,,37/INV/2.2/VIII/2023,14/08/2023,,"Permintaan pembayaran atas Pengadaan Kecambah Kalapa Sawit dari Pusat Penelitian Kelapa Sawit Kebun Gunme & Tabara (100.000 butir), Kebun Dasal,Tajati & Rimba Belian (105.000 Butir), Kebun Gunme, Tabara & Dasal (150.000 butir)",170.750.000,KEUANGAN,31/08/2023,24/10/2023,,170.750.000,170.750.000,0,,,,0,,170.750.000,,,,,,,,,,,,,,,170.750.000,10/06/2024,170.750.000,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  170.750.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  170.750.000 ,  170.750.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  170.750.000 ,  - 
1,5550_2023,19 Sep 2023,13.01/SPP/331/IX/2023,KANDIR,PT Riset Perkebunan Nusantara PPKS,170/FP/QL/VIII/2023,29/08/2023,,15/INV/2.2/IX/2023,06/09/2023,,"Permintaan pembayaran atas Pengadaan Kecambah Kelapa Sawit dari Pusat Penelitian Kelapa Sawit Kebun Tajati, Longkali, dan Parindu sebanyak 150.000 butir",77.500.000,KEUANGAN,20/09/2023,24/10/2023,,77.500.000,77.500.000,0,,,,0,,77.500.000,,,,,,,,,,,,,,,77.500.000,28/06/2024,77.500.000,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  77.500.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  77.500.000 ,  77.500.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  77.500.000 ,  - 
1,5513_2023,18 Sep 2023,13.03/SPP/769/IX/2023,TAJATI,PT Global Wdya Sinergy,,,,,,,Pembayaran rampung atas pembuatan Instalasi pemipaan main Nursery (12 H2) Kebun Tajati Kaltim Kontrak No. 13.03 AB/SP/07/II/2023 tgl. 2 Peb 2023,1.450.368.258,KEUANGAN,18/09/2023,19/09/2023,,1.450.368.258,1.450.368.258,0,,,,0,,1.450.368.258,,,250.368.258,29/12/2023,1000000000,22/03/2024,150000000,27/05/2024,,,,,,,50.000.000,28/06/2024,1.450.368.258,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  250.368.258 ,  - ,  - ,  1.000.000.000 ,  - ,  150.000.000 ,  50.000.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.200.000.000 ,  1.450.368.258 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.200.000.000 ,  250.368.258 
1,5694_2023,27 Sep 2023,13.01/SPP/338/IX/2023,NGABANG,CV Multi Indah Lestari,,,,,,,Permintaan pembayaran atas Sewa Bulldozer D3 untuk Menggusur Lahan di Afdeling Pembibitan Kebun Ngabang sesuai Surat No. 13.01/SP/Ngaba/291/VIII/2023 tgl. 08 Agustus 2023,26.918.100,KEUANGAN,29/09/2023,Cuti,,26.918.100,26.918.100,0,,,,0,,26.918.100,,,,,,,,,,,,,,,26.918.100,29/12/2023,26.918.100,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  26.918.100 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  26.918.100 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  26.918.100 
1,6053_2023,13 Okt 2023,13.01/SPP/354/X/2023,RIMBA BELIAN,CV Langit Bumi Khatulistiwa,,,,,,,Permintaan pembayaran atas Pengadaan Baby Polybag Kebun Wilayah Kalimantan Barat sesuai SP No. 13.01/SP/KB/IX/2023 tgl. 04 Sept 2023,157.967.208,KEUANGAN,17/10/2023,17/10/2023,,157.967.208,157.967.208,0,,,,0,,157.967.208,,,,,,,,,,,,,,,157.967.208,24/10/2023,157.967.208,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  157.967.208 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  157.967.208 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  157.967.208 
