,,,,,,,,,,,,,,,,,,,,6.246.499.443,,,,,,,,,0,,0,,0,,0,,0,,0,,0,0,,6.246.499.443,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5641_2024,9 Okt 2024,5SKH/SPP/868/X/2024,CAPEX,Laurentius Teddy Prasetiono,13.00/SP/23/VII/2023,31/07/2024,,,,,Pembayaran Tahap II Pekerjaan Pengurusan Perpanjangan Hak Guna Usaha Afdeling Tanjung Santan Kebun Longkali Kalimantan Timur sesuai Surat Perjanjian No. 13.00/SP/23/VII/2023 tgl. 31 Juli 2023 dan Add No. 5SKH/SPJ/ADD-16/VII/2024 tgl. 24 Juli 2024,447.121.400,KEUANGAN,09/10/2024,15/10/2024,,447.121.400,447.121.400,0,Belum ada,Belum ada,0,0,,,,,,,,,,,,,,,,,447.121.400,26/02/2025,447.121.400,0,0,Pekerjaan Investasi Off Farm Lainnya,,0,0,0,0,0,0,447.121.400,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  447.121.400 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  447.121.400 ,  447.121.400 ,  - 
1,5605_2024,8 Okt 2024,5SKH/SPP/852/X/2024,OPEX,PT Jaya Wira Manggala,"13,00/SP/18/VII/2023",,Kontraknya belum ada dilampirkan,No BA Tidak ada,31/08/2024,31/08/2024,Jasa Pengamanan Terpadu Kebun/Unit Wilayah Kalimantan Timur dan Kebun Pelaihari periode Agustus 2024,1.364.526.520,KEUANGAN,08/10/2024,11/10/2024,,1.364.526.520,1.364.526.520,0,4100260496,5201227871,,0,,,,,,,,,,,,,,,,,1.364.526.520,28/10/2024,1.364.526.520,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.364.526.520 ,  - ,  - ,  1.364.526.520 ,  1.364.526.520 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  1.364.526.520 ,0
1,4430_2024,13 Agu 2024,5PTI/SPP/423/VIII/2024,OPEX,PT Sinar Utama Nabati Niaga,,,,,,,SesuainSurat Invoice PT Sinar Utama Nabati Niaga (SUNN) No. 01/NB-SUNN/V/2024 tgl. 17 Mei 2024 dengan ini kami sampaikan Tagihan atas Kekurangan Pengapalan sesuai Invoice tetap Perhitungan Rampung Invoice Tetap 0003/P/HOLD/CPO-L/N-XIII/IX/2023 tgl. 22 Mei 2023,942.879.954,KEUANGAN,16/08/2024,26/08/2024,,942.879.954,942.879.954,0,,,,0,,,,,,,,,,,,,,,,,942.879.954,10/12/2024,942.879.954,0,0,Biaya Pemasaran Lainnya,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  942.879.954 ,  942.879.954 ,  942.879.954 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  942.879.954 ,0
1,4947_2024,21 Agu 2024,5PTI/SPP/424/VIII/2024,OPEX,PT Bina Karya Prima,,,,,,,"Pembayaran sesuai PT Bina Karya Prima No. 00843/BKP/PCPO/VIII/2024 tgl. 08 Agustus 2024 sesuai No. Pinalty Invoice No. 0023, 0024, 0028, 0029, 0030, 0031, 0032, 0037, 0038, 0041/Holding/CPO-L/N-XIII/IX/2022",1.760.080.768,KEUANGAN,10/09/2024,10/09/2024,,1.760.080.768,1.760.080.768,0,,,,0,,,,,,,,,,,,,,,,,1.760.080.768,10/12/2024,1.760.080.768,0,0,Biaya Pemasaran Lainnya,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.760.080.768 ,  1.760.080.768 ,  1.760.080.768 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  1.760.080.768 ,0
1,5802_2024,16 Okt 2024,5SKH/SPP/902/X/2024,OPEX,PT Aitara Wira Karta,13.00/SP/21/VII/2023,01/08/2024,31/07/2025,14/BA-STHPB/IX/2024,30/09/2024,30/09/2024,Jasa Pengamanan Khusus Kebun/Unit Wilayah Kalimantan Barat periode September 2024,938.774.775,KEUANGAN,16/10/2024,18/10/2024,,938.774.775,938.774.775,0,4100261306,5201233692,,0,,,,,,,,,,,,,,,,,938.774.775,02/12/2024,938.774.775,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  938.774.775 ,  938.774.775 ,  938.774.775 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  938.774.775 ,0
1,5102_2024,17 Sep 2024,5SKH/SPP/785/IX/2024,OPEX,PT Jaya Wira Manggala,13.00/SP/18/VII/2023,10/07/2023,31/07/2025,,29/07/2024,12/09/2024,Jasa Pengamanan Terpadu Kebun/Unit Wiayah Kalimantan Timur dan Kebun Pelaihari periode Juli 2024,1.364.526.520,KEUANGAN,17/09/2024,20/09/2024,,1.364.526.520,1.364.526.520,0,4100257869,5201208466,,0,,,,,,,,,,,,,,,,,1.364.526.520,08/10/2024,1.364.526.520,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.364.526.520 ,  - ,  - ,  1.364.526.520 ,  1.364.526.520 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  1.364.526.520 ,0
1,2712_2024,25 Mei 2024,5SDM/SPP/443/V/2024,OPEX,Koperasi Karyawan Sejahtera PTPN XIII ,,,,,,,Pembayaran Alat Perlindungan Diri (APD) untuk Sertifikasi RSPO di Kebun Gunung Meliau,83.712.115,KEUANGAN,29/05/2024,13/02/2025,,83.712.115,83.712.115,0,,,0,0,,,,,,,,,,,,,,,,,83.712.115,23/07/2025,83.712.115,0,0,Biaya Pengendalian Lingkungan (ISO 14000),,0,0,0,0,0,0,83.712.115,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  83.712.115 ,  - ,  - ,  - ,  - ,  - ,  83.712.115 ,  83.712.115 ,  - 
1,2713_2024,25 Mei 2024,5SDM/SPP/444/V/2024,OPEX,Koperasi Karyawan Sejahtera PTPN XIII ,,,,,,,Pembayaran Alat Perlindungan Diri (APD) untuk Sertifikasi RSPO di Kebun Gunung Meliau,123.658.874,KEUANGAN,29/05/2024,12/02/2025,,123.658.874,123.658.874,0,,,0,0,,,,,,,,,,,,,,,,,123.658.874,23/07/2025,123.658.874,0,0,Biaya Pengendalian Lingkungan (ISO 14000),,0,0,0,0,0,0,123.658.874,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  123.658.874 ,  - ,  - ,  - ,  - ,  - ,  123.658.874 ,  123.658.874 ,  - 
1,2714_2024,25 Mei 2024,5SDM/SPP/447/V/2024,OPEX,Koperasi Karyawan Sejahtera PTPN XIII ,,,,,,,Pembayaran Alat Perlindungan Diri (APD) untuk Sertifikasi RSPO di PKS Rimba Belian,84.311.936,KEUANGAN,29/05/2024,23/12/2024,,84.311.936,84.311.936,0,4100271291,5201374467,0,0,,,,,,,,,,,,,,,,,84.311.936,06/05/2025,84.311.936,0,0,Biaya Pengendalian Lingkungan (ISO 14000),,0,0,0,0,0,0,84.311.936,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  84.311.936 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  84.311.936 ,  84.311.936 ,  - 
1,2715_2024,25 Mei 2024,5SDM/SPP/446/V/2024,OPEX,Koperasi Karyawan Sejahtera PTPN XIII ,,,,,,,Pembayaran Alat Perlindungan Diri (APD) untuk Sertifikasi RSPO di Kebun Rimba Belian,160.520.313,KEUANGAN,29/05/2024,23/12/2024,,160.520.313,160.520.313,0,4100270297,5201374438,0,0,,,,,,,,,,,,,,,,,160.520.313,06/05/2025,160.520.313,0,0,Biaya Pengendalian Lingkungan (ISO 14000),,0,0,0,0,0,0,160.520.313,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  160.520.313 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  160.520.313 ,  160.520.313 ,  - 
